Picture Number:   67	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.07 dB,	PSNR-U: 46.86 dB,	PSNR-V: 47.94 dB,	MSE-Y: 4.03,	MSE-U: 1.34,	MSE-V: 1.05,	SSIM-Y: 0.98980,	SSIM-U: 0.99047,	SSIM-V: 0.99055 ]	     32 bytes
Picture Number:   68	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 41.92 dB,	PSNR-U: 47.03 dB,	PSNR-V: 47.82 dB,	MSE-Y: 4.18,	MSE-U: 1.29,	MSE-V: 1.07,	SSIM-Y: 0.98961,	SSIM-U: 0.99036,	SSIM-V: 0.99055 ]	      5 bytes
Picture Number:   69	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 40.70 dB,	PSNR-U: 46.82 dB,	PSNR-V: 47.59 dB,	MSE-Y: 5.53,	MSE-U: 1.35,	MSE-V: 1.13,	SSIM-Y: 0.98767,	SSIM-U: 0.99003,	SSIM-V: 0.99006 ]	     96 bytes
Picture Number:   70	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 41.43 dB,	PSNR-U: 46.56 dB,	PSNR-V: 47.12 dB,	MSE-Y: 4.67,	MSE-U: 1.44,	MSE-V: 1.26,	SSIM-Y: 0.98868,	SSIM-U: 0.98964,	SSIM-V: 0.98913 ]	      5 bytes
Picture Number:   71	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.51 dB,	PSNR-U: 46.39 dB,	PSNR-V: 46.83 dB,	MSE-Y: 4.59,	MSE-U: 1.49,	MSE-V: 1.35,	SSIM-Y: 0.98899,	SSIM-U: 0.98960,	SSIM-V: 0.98851 ]	     40 bytes
Picture Number:   72	Temporal Layer Index:    2	 QP:   21	 Average QP:   21  [ PSNR-Y: 43.32 dB,	PSNR-U: 46.01 dB,	PSNR-V: 46.49 dB,	MSE-Y: 3.02,	MSE-U: 1.63,	MSE-V: 1.46,	SSIM-Y: 0.99059,	SSIM-U: 0.98849,	SSIM-V: 0.98741 ]	      5 bytes
Picture Number:   73	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.65 dB,	PSNR-U: 45.55 dB,	PSNR-V: 46.39 dB,	MSE-Y: 4.45,	MSE-U: 1.81,	MSE-V: 1.49,	SSIM-Y: 0.98939,	SSIM-U: 0.98806,	SSIM-V: 0.98731 ]	    170 bytes
Picture Number:   74	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 41.21 dB,	PSNR-U: 45.74 dB,	PSNR-V: 46.55 dB,	MSE-Y: 4.92,	MSE-U: 1.74,	MSE-V: 1.44,	SSIM-Y: 0.98904,	SSIM-U: 0.98804,	SSIM-V: 0.98759 ]	      5 bytes
Picture Number:   75	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.27 dB,	PSNR-U: 45.94 dB,	PSNR-V: 46.57 dB,	MSE-Y: 4.86,	MSE-U: 1.66,	MSE-V: 1.43,	SSIM-Y: 0.98918,	SSIM-U: 0.98826,	SSIM-V: 0.98765 ]	     29 bytes
Picture Number:   76	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 41.54 dB,	PSNR-U: 46.01 dB,	PSNR-V: 46.61 dB,	MSE-Y: 4.56,	MSE-U: 1.63,	MSE-V: 1.42,	SSIM-Y: 0.98910,	SSIM-U: 0.98849,	SSIM-V: 0.98776 ]	      5 bytes
